Year,Month,Time,EPUUS_index, CPI , INFMoM ,EPUMoM
2023,11,1/11/2023,140.68 ,308.09 , 0.00141 , 0.05302 
2023,12,1/12/2023,107.00 ,308.74 , 0.00210 , -0.23938 
2024,1,1/1/2024,131.27 ,309.79 , 0.00343 , 0.22684 
2024,2,1/2/2024,106.51 ,311.02 , 0.00396 , -0.18862 
2024,3,1/3/2024,116.71 ,312.11 , 0.00349 , 0.09575 
2024,4,1/4/2024,139.41 ,313.02 , 0.00291 , 0.19450 
2024,5,1/5/2024,123.61 ,313.14 , 0.00040 , -0.11337 
2024,6,1/6/2024,144.18 ,313.13 , -0.00003 , 0.16642 
2024,7,1/7/2024,144.94 ,313.57 , 0.00139 , 0.00526 
2024,8,1/8/2024,138.37 ,314.13 , 0.00180 , -0.04533 
2024,9,1/9/2024,127.40 ,314.85 , 0.00229 , -0.07926 
2024,10,1/10/2024,109.29 ,315.56 , 0.00227 , -0.14214 
2024,11,1/11/2024,225.05 ,316.45 , 0.00281 , 1.05918 
2024,12,1/12/2024,218.85 ,317.60 , 0.00365 , -0.02757 
2025,1,1/1/2025,236.79 ,319.09 , 0.00467 , 0.08198 
2025,2,1/2/2025,329.29 ,319.78 , 0.00216 , 0.39066 
2025,3,1/3/2025,446.30 ,319.62 , -0.00050 , 0.35535 
2025,4,1/4/2025,724.94 ,320.32 , 0.00221 , 0.62431 
2025,5,1/5/2025,563.98 ,320.58 , 0.00081 , -0.22202 
2025,6,1/6/2025,375.59 ,321.50 , 0.00287 , -0.33405 
2025,7,1/7/2025,372.06 ,322.13 , 0.00197 , -0.00938 
2025,8,1/8/2025,334.92 ,323.36 , 0.00383 , -0.09983 
